Model,Feature_Extraction_Method,Train_Accuracy,Validation_Accuracy,Test_Accuracy,Train_F1,Validation_F1,Test_F1,Train_Precision,Validation_Precision,Test_Precision,Train_Recall,Validation_Recall,Test_Recall,Train_AUC,Validation_AUC,Test_AUC
Gaussian NB,glove.6B.300d_sum,0.5818359375,0.5771028037383178,0.5887924230465666,0.5850126751873386,0.5765493017734585,0.5919667291647536,0.5818359375,0.5771028037383178,0.5887924230465668,0.5829671715392702,0.5766072392879837,0.5899333633901807,0.5788912606387859,0.5756182440314177,0.5856114597737829
AdaBoost,glove.6B.300d_sum,0.623828125,0.572429906542056,0.5990528808208366,0.6192086255541083,0.5745617678261007,0.5914263267271529,0.623828125,0.572429906542056,0.5990528808208366,0.6121292111137294,0.5581960946267595,0.5856121356528928,0.6029514030925305,0.5652509915234466,0.5763659894337482
Extra Trees,glove.6B.300d_sum,0.9986328125,0.5950155763239875,0.5927387529597474,0.9986328228208456,0.6029640203388915,0.5841034543683096,0.9986328125,0.5950155763239875,0.5927387529597474,0.9986327789740306,0.5777178103652589,0.576545714665395,0.9985871766837978,0.586957578349794,0.5681133212778782
XGBoost,glove.6B.300d_sum,0.99873046875,0.5841121495327103,0.5785319652722968,0.9987307964133685,0.5840425353031582,0.572037904816217,0.99873046875,0.5841121495327103,0.5785319652722968,0.9987303907316833,0.5783436311475555,0.5723586935458107,0.9986496210571725,0.5794482463644142,0.5624401659397936
Logistic Regression,glove.twitter.27B.200d_mean,0.61943359375,0.6035825545171339,0.606156274664562,0.6143642041559675,0.6090717738323,0.5992960278714577,0.61943359375,0.6035825545171339,0.606156274664562,0.6076727247897096,0.5913269192635527,0.5914778290451693,0.5985500819369346,0.5967075589081577,0.5824646314221891
Decision Tree,glove.twitter.27B.200d_mean,0.9994140625,0.5194704049844237,0.5311760063141279,0.9994148447930573,0.51845819352442,0.5344809735804306,0.9994140625,0.5194704049844237,0.5311760063141279,0.9994141053240593,0.5185787931339718,0.5324498755310322,0.9994784422809457,0.5175752391321253,0.5269474878559018
Random Forest,glove.twitter.27B.200d_mean,0.9994140625,0.5841121495327103,0.5872138910812944,0.9994144293423366,0.5889242045784101,0.5774657299997772,0.9994140625,0.5841121495327103,0.5872138910812944,0.9994140910961556,0.5683077604459909,0.5675052319511594,0.9994539603678113,0.5764785364336262,0.5603570542140908
SVM,glove.twitter.27B.200d_mean,0.6759765625,0.6113707165109035,0.6037884767166535,0.6836576436999351,0.6267246234854753,0.5979886310579243,0.6759765625,0.6113707165109035,0.6037884767166535,0.6590157213979171,0.5905914801391939,0.5781461731416485,0.6501779432217949,0.60242339995334,0.57322802538737
KNN,glove.twitter.27B.200d_mean,0.63818359375,0.5693146417445483,0.5753749013417522,0.6345813354971733,0.5709359719090884,0.5648970766349858,0.63818359375,0.5693146417445483,0.5753749013417522,0.6285612704031995,0.555236597319999,0.5602831756228681,0.6189856616562417,0.5621937942297224,0.5516877637130801
Gaussian NB,glove.twitter.27B.200d_mean,0.5927734375,0.5872274143302181,0.584846093133386,0.5949386750219429,0.5866899539291397,0.5881341934554165,0.5927734375,0.5872274143302181,0.584846093133386,0.5936223266961652,0.5867177850392412,0.5860213053674805,0.5889697515116806,0.5857278948596314,0.5817023011736341
AdaBoost,glove.twitter.27B.200d_mean,0.622265625,0.5763239875389408,0.5927387529597474,0.6173916085032756,0.5770556638801109,0.5849381183593606,0.622265625,0.5763239875389408,0.5927387529597474,0.6113925922867747,0.5667482701471575,0.5816532284517528,0.6020991845973438,0.5703835834823858,0.5719870226571642
Extra Trees,glove.twitter.27B.200d_mean,0.9994140625,0.5996884735202492,0.5966850828729282,0.9994144293423366,0.6099562455357053,0.5889010080316406,0.9994140625,0.5996884735202492,0.5966850828729282,0.9994140910961556,0.5808751262391112,0.5722668070645329,0.9994539603678113,0.5912590403608368,0.5669255043789667
XGBoost,glove.twitter.27B.200d_mean,0.9994140625,0.588006230529595,0.590370955011839,0.9994141685629903,0.5895793981643371,0.5829777676078169,0.9994140625,0.588006230529595,0.590370955011839,0.9994140768214728,0.5789959694630714,0.5812100670159248,0.9994294784546769,0.5821797962516525,0.5713133354607666
Logistic Regression,glove.twitter.27B.200d_max,0.61943359375,0.6035825545171339,0.606156274664562,0.6143642041559675,0.6090717738323,0.5992960278714577,0.61943359375,0.6035825545171339,0.606156274664562,0.6076727247897096,0.5913269192635527,0.5914778290451693,0.5985500819369346,0.5967075589081577,0.5824646314221891
Decision Tree,glove.twitter.27B.200d_max,0.9994140625,0.5241433021806854,0.5295974743488555,0.9994148447930573,0.5226949683987379,0.5323159493635512,0.9994140625,0.5241433021806854,0.5295974743488555,0.9994141053240593,0.5225262452714278,0.5307008876806298,0.9994784422809457,0.5216871451901393,0.5247314115519626
Random Forest,glove.twitter.27B.200d_max,0.9994140625,0.6020249221183801,0.5643251775848461,0.9994144293423366,0.6078734015164645,0.5507721830763754,0.9994140625,0.6020249221183801,0.5643251775848461,0.9994140910961556,0.5890160962577206,0.5436970725978155,0.9994539603678113,0.5949578116494284,0.5371946246853172
SVM,glove.twitter.27B.200d_max,0.6759765625,0.6113707165109035,0.6037884767166535,0.6836576436999351,0.6267246234854753,0.5979886310579243,0.6759765625,0.6113707165109035,0.6037884767166535,0.6590157213979171,0.5905914801391939,0.5781461731416485,0.6501779432217949,0.60242339995334,0.57322802538737
KNN,glove.twitter.27B.200d_max,0.63818359375,0.5693146417445483,0.5753749013417522,0.6345813354971733,0.5709359719090884,0.5648970766349858,0.63818359375,0.5693146417445483,0.5753749013417522,0.6285612704031995,0.555236597319999,0.5602831756228681,0.6189856616562417,0.5621937942297224,0.5516877637130801
Gaussian NB,glove.twitter.27B.200d_max,0.5927734375,0.5872274143302181,0.584846093133386,0.5949386750219429,0.5866899539291397,0.5881341934554165,0.5927734375,0.5872274143302181,0.584846093133386,0.5936223266961652,0.5867177850392412,0.5860213053674805,0.5889697515116806,0.5857278948596314,0.5817023011736341
